import time: self [us] | cumulative | imported package
import time:       705 |       1282 |             websockets
import time:       214 |        214 |               websockets.asyncio
import time:       312 |        312 |                 websockets.datastructures
import time:       583 |        583 |                     websockets.speedups
import time:       369 |        369 |                         websockets.typing
import time:       870 |       1239 |                       websockets.extensions.base
import time:       605 |       1843 |                     websockets.extensions
import time:      3592 |       6018 |                   websockets.frames
import time:      2953 |       2953 |                   websockets.http11
import time:       593 |       9563 |                 websockets.exceptions
import time:       757 |        757 |                 websockets.headers
import time:       250 |        250 |                   websockets.streams
import time:      1607 |       1857 |                 websockets.protocol
import time:      2841 |       2841 |                 websockets.uri
import time:       284 |        284 |                 websockets.utils
import time:      1961 |      17572 |               websockets.client
import time:       342 |        342 |               websockets.extensions.permessage_deflate
import time:       267 |        267 |               websockets.asyncio.compatibility
import time:       383 |        383 |                 websockets.asyncio.messages
import time:       657 |       1040 |               websockets.asyncio.connection
import time:       361 |        361 |               python_socks
import time:      1567 |      21360 |             websockets.asyncio.client
import time:       287 |        287 |             realtime.exceptions
import time:       237 |        237 |             realtime.utils
import time:      1159 |      24323 |           realtime._async.client
import time:       270 |        270 |             realtime._sync
import time:       449 |        719 |           realtime._sync.channel
import time:       308 |        308 |           realtime._sync.client
import time:       418 |        418 |           realtime._sync.presence
import time:      1578 |      49433 |         realtime
import time:       214 |        214 |                 storage3.constants
import time:       226 |        226 |                 storage3.version
import time:       443 |        443 |                       pyiceberg
import time:       451 |        451 |                       pyiceberg.exceptions
import time:      1881 |       1881 |                         pyiceberg.typedef
import time:       750 |       2630 |                       pyiceberg.io
import time:       324 |        324 |                           cachetools.keys
import time:       215 |        215 |                           cachetools._decorators
import time:      1145 |       1684 |                         cachetools
import time:       256 |        256 |                           pyiceberg.avro
import time:       191 |        191 |                             pyiceberg.avro.codecs.codec
import time:       593 |        784 |                           pyiceberg.avro.codecs.bzip2
import time:       268 |        268 |                           pyiceberg.avro.codecs.deflate
import time:       279 |        279 |                             snappy
import time:       232 |        510 |                           pyiceberg.avro.codecs.snappy_codec
import time:       220 |        220 |                           pyiceberg.avro.codecs.zstandard_codec
import time:       940 |       2976 |                         pyiceberg.avro.codecs
import time:       487 |        487 |                           pyiceberg.avro.decoder
import time:       286 |        286 |                           pyiceberg.avro.encoder
import time:       374 |        374 |                                 pyiceberg.utils
import time:       439 |        813 |                               pyiceberg.utils.parsing
import time:       305 |        305 |                               pyiceberg.utils.singleton
import time:     18530 |      19647 |                             pyiceberg.types
import time:       349 |        349 |                             pyiceberg.utils.decimal
import time:       323 |        323 |                             pyiceberg.utils.lazydict
import time:      9181 |      29499 |                           pyiceberg.avro.reader
import time:     17704 |      17704 |                             pyiceberg.avro.writer
import time:      5674 |       5674 |                             pyiceberg.schema
import time:      1862 |      25239 |                           pyiceberg.avro.resolver
import time:       680 |        680 |                           pyiceberg.utils.schema_conversion
import time:      3232 |      59420 |                         pyiceberg.avro.file
import time:       702 |        702 |                           pyiceberg.utils.datetime
import time:      1049 |       1751 |                         pyiceberg.conversions
import time:       929 |        929 |                             mmh3
import time:      1455 |       1455 |                               pyiceberg.expressions.literals
import time:      1790 |       3244 |                             pyiceberg.expressions
import time:      7264 |      11437 |                           pyiceberg.transforms
import time:      7858 |      19294 |                         pyiceberg.partitioning
import time:      4808 |      89931 |                       pyiceberg.manifest
import time:      1415 |       1415 |                         gzip
import time:       736 |        736 |                               sortedcontainers.sortedlist
import time:       394 |        394 |                               sortedcontainers.sortedset
import time:       408 |        408 |                               sortedcontainers.sorteddict
import time:      1420 |       2957 |                             sortedcontainers
import time:       544 |        544 |                                 pyparsing.util
import time:       374 |        374 |                                   pyparsing.unicode
import time:      1981 |       2355 |                                 pyparsing.exceptions
import time:       413 |        413 |                                     pprint
import time:       652 |       1065 |                                   pyparsing.results
import time:       640 |       1704 |                                 pyparsing.actions
import time:      8342 |       8342 |                                 pyparsing.core
import time:     22291 |      22291 |                                 pyparsing.helpers
import time:       437 |        437 |                                 pyparsing.testing
import time:      3204 |       3204 |                                 pyparsing.common
import time:      3222 |      42095 |                               pyparsing
import time:      2812 |      44907 |                             pyiceberg.expressions.parser
import time:      1381 |       1381 |                             pyiceberg.expressions.visitors
import time:       212 |        212 |                                 pyiceberg.utils.deprecated
import time:      3024 |       3236 |                               pyiceberg.table.snapshots
import time:       976 |        976 |                                     _queue
import time:       499 |       1475 |                                   queue
import time:       719 |       2193 |                                 concurrent.futures.thread
import time:       277 |        277 |                                           _ruamel_yaml
import time:       363 |        639 |                                         strictyaml.ruamel.cyaml
import time:       427 |        427 |                                           glob
import time:       284 |        284 |                                                 ruamel
import time:        23 |        307 |                                               ruamel.ordereddict
import time:       353 |        660 |                                             strictyaml.ruamel.compat
import time:       553 |       1213 |                                           strictyaml.ruamel.error
import time:       398 |        398 |                                           strictyaml.ruamel.tokens
import time:       438 |        438 |                                           strictyaml.ruamel.events
import time:       433 |        433 |                                           strictyaml.ruamel.nodes
import time:       279 |        279 |                                               strictyaml.ruamel.util
import time:       442 |        721 |                                             strictyaml.ruamel.reader
import time:       493 |        493 |                                             strictyaml.ruamel.scanner
import time:       352 |        352 |                                             strictyaml.ruamel.parser
import time:       273 |        273 |                                             strictyaml.ruamel.composer
import time:       207 |        207 |                                                   strictyaml.ruamel.anchor
import time:       446 |        653 |                                                 strictyaml.ruamel.scalarstring
import time:      1456 |       2109 |                                               strictyaml.ruamel.comments
import time:       290 |        290 |                                               strictyaml.ruamel.scalarint
import time:       264 |        264 |                                               strictyaml.ruamel.scalarfloat
import time:       208 |        208 |                                               strictyaml.ruamel.scalarbool
import time:       201 |        201 |                                               strictyaml.ruamel.timestamp
import time:      1414 |       4484 |                                             strictyaml.ruamel.constructor
import time:       406 |        406 |                                             strictyaml.ruamel.resolver
import time:      2063 |       8788 |                                           strictyaml.ruamel.loader
import time:       495 |        495 |                                             strictyaml.ruamel.emitter
import time:       289 |        289 |                                             strictyaml.ruamel.serializer
import time:       450 |        450 |                                             strictyaml.ruamel.representer
import time:      1063 |       2296 |                                           strictyaml.ruamel.dumper
import time:       301 |        301 |                                           _ruamel_yaml
import time:      1980 |      16271 |                                         strictyaml.ruamel.main
import time:       640 |      17548 |                                       strictyaml.ruamel
import time:       531 |        531 |                                       strictyaml.exceptions
import time:       233 |        233 |                                                 strictyaml.yamlpointer
import time:       253 |        253 |                                                 strictyaml.utils
import time:       468 |        952 |                                               strictyaml.yamllocation
import time:       231 |        231 |                                               strictyaml.dumper
import time:       728 |       1910 |                                             strictyaml.representation
import time:       525 |       2434 |                                           strictyaml.validators
import time:       191 |        191 |                                             strictyaml.constants
import time:       380 |        380 |                                                 dateutil._version
import time:       623 |       1002 |                                               dateutil
import time:      1655 |       1655 |                                                 six
import time:       207 |        207 |                                                 dateutil._common
import time:        32 |         32 |                                                   six.moves
import time:       284 |        284 |                                                   dateutil.tz._common
import time:       236 |        236 |                                                   dateutil.tz._factories
import time:       718 |        718 |                                                   dateutil.tz.win
import time:      1386 |       2654 |                                                 dateutil.tz.tz
import time:      2304 |       6819 |                                               dateutil.parser._parser
import time:       409 |        409 |                                               dateutil.parser.isoparser
import time:       825 |       9054 |                                             dateutil.parser
import time:       426 |       9670 |                                           strictyaml.scalar
import time:       759 |      12862 |                                         strictyaml.compound
import time:       494 |      13356 |                                       strictyaml.any_validator
import time:       668 |      32102 |                                     strictyaml.parser
import time:       623 |      32724 |                                   strictyaml
import time:       366 |      33090 |                                 pyiceberg.utils.config
import time:       635 |      35918 |                               pyiceberg.utils.concurrent
import time:      1054 |      40206 |                             pyiceberg.table.inspect
import time:       258 |        258 |                               pyiceberg.utils.properties
import time:       519 |        776 |                             pyiceberg.table.locations
import time:       224 |        224 |                             pyiceberg.table.maintenance
import time:      2679 |       2679 |                               pyiceberg.table.name_mapping
import time:      1546 |       1546 |                               pyiceberg.table.refs
import time:      2071 |       2071 |                               pyiceberg.table.sorting
import time:      2081 |       2081 |                               pyiceberg.table.statistics
import time:     19451 |      27826 |                             pyiceberg.table.metadata
import time:     18437 |      18437 |                             pyiceberg.table.update
import time:      2381 |       2381 |                             pyiceberg.table.update.schema
import time:       413 |        413 |                               pyiceberg.utils.bin_packing
import time:      1148 |       1560 |                             pyiceberg.table.update.snapshot
import time:       393 |        393 |                             pyiceberg.table.update.spec
import time:       330 |        330 |                             pyiceberg.table.update.statistics
import time:     15257 |     156632 |                           pyiceberg.table
import time:        51 |     156682 |                         pyiceberg.table.metadata
import time:       768 |     158864 |                       pyiceberg.serializers
import time:      4121 |     256438 |                     pyiceberg.catalog
import time:      1263 |       1263 |                         urllib3.exceptions
import time:       410 |        410 |                                 urllib3.util.timeout
import time:      1090 |       1500 |                               urllib3.util.connection
import time:       237 |        237 |                                 urllib3.util.util
import time:       350 |        350 |                                 brotlicffi
import time:       334 |        334 |                                 brotli
import time:       280 |        280 |                                 compression
import time:      1176 |       2375 |                               urllib3.util.request
import time:       287 |        287 |                               urllib3.util.response
import time:       986 |        986 |                               urllib3.util.retry
import time:      5719 |       5719 |                                 urllib3.util.url
import time:       398 |        398 |                                 urllib3.util.ssltransport
import time:       909 |       7024 |                               urllib3.util.ssl_
import time:       285 |        285 |                               urllib3.util.wait
import time:      1561 |      14016 |                             urllib3.util
import time:        23 |      14038 |                           urllib3.util.connection
import time:      1605 |      15643 |                         urllib3._base_connection
import time:       714 |        714 |                         urllib3._collections
import time:       253 |        253 |                         urllib3._version
import time:       290 |        290 |                               urllib3.fields
import time:       511 |        800 |                             urllib3.filepost
import time:       403 |        403 |                               brotlicffi
import time:       282 |        282 |                               brotli
import time:       299 |        299 |                                 urllib3.http2
import time:       513 |        513 |                                 urllib3.http2.probe
import time:       264 |        264 |                                 urllib3.util.ssl_match_hostname
import time:      1740 |       2815 |                               urllib3.connection
import time:       357 |        357 |                               compression
import time:      1469 |       5324 |                             urllib3.response
import time:       840 |       6963 |                           urllib3._request_methods
import time:       238 |        238 |                           urllib3.util.proxy
import time:       840 |       8040 |                         urllib3.connectionpool
import time:      1546 |       1546 |                         urllib3.poolmanager
import time:      1953 |      29409 |                       urllib3
import time:      1500 |       1500 |                               chardet.enums
import time:       582 |       2081 |                             chardet.charsetprober
import time:       634 |       2715 |                           chardet.charsetgroupprober
import time:       237 |        237 |                           chardet.resultdict
import time:       254 |        254 |                                 chardet.codingstatemachinedict
import time:       393 |        647 |                               chardet.codingstatemachine
import time:       249 |        249 |                               chardet.escsm
import time:       556 |       1451 |                             chardet.escprober
import time:       274 |        274 |                             chardet.latin1prober
import time:       268 |        268 |                             chardet.macromanprober
import time:       434 |        434 |                                   chardet.big5freq
import time:       253 |        253 |                                   chardet.euckrfreq
import time:       303 |        303 |                                   chardet.euctwfreq
import time:       253 |        253 |                                   chardet.gb2312freq
import time:       277 |        277 |                                   chardet.jisfreq
import time:       510 |        510 |                                   chardet.johabfreq
import time:      1975 |       4001 |                                 chardet.chardistribution
import time:       268 |        268 |                                 chardet.mbcharsetprober
import time:       290 |        290 |                                 chardet.mbcssm
import time:       775 |       5333 |                               chardet.big5prober
import time:       204 |        204 |                               chardet.cp949prober
import time:       509 |        509 |                                 chardet.jpcntx
import time:       445 |        953 |                               chardet.eucjpprober
import time:       220 |        220 |                               chardet.euckrprober
import time:       210 |        210 |                               chardet.euctwprober
import time:       218 |        218 |                               chardet.gb2312prober
import time:       204 |        204 |                               chardet.johabprober
import time:       214 |        214 |                               chardet.sjisprober
import time:       216 |        216 |                               chardet.utf8prober
import time:      1407 |       9175 |                             chardet.mbcsgroupprober
import time:      1051 |       1051 |                                 chardet.sbcharsetprober
import time:       438 |       1489 |                               chardet.hebrewprober
import time:       432 |        432 |                               chardet.langbulgarianmodel
import time:       391 |        391 |                               chardet.langgreekmodel
import time:       351 |        351 |                               chardet.langhebrewmodel
import time:       619 |        619 |                               chardet.langrussianmodel
import time:       538 |        538 |                               chardet.langthaimodel
import time:       429 |        429 |                               chardet.langturkishmodel
import time:      4601 |       8847 |                             chardet.sbcsgroupprober
import time:       277 |        277 |                             chardet.utf1632prober
import time:      1331 |      21619 |                           chardet.universaldetector
import time:       196 |        196 |                           chardet.version
import time:       303 |        303 |                           simplejson
import time:       840 |        840 |                           http.cookies
import time:      1622 |      27530 |                         requests.compat
import time:       756 |      28285 |                       requests.exceptions
import time:      1176 |       1176 |                             charset_normalizer.constant
import time:       547 |        547 |                               charset_normalizer.md__mypyc
import time:        47 |         47 |                                 _multibytecodec
import time:       385 |        431 |                               charset_normalizer.utils
import time:      1047 |       2024 |                             charset_normalizer.md
import time:       561 |        561 |                             charset_normalizer.models
import time:      1015 |       4776 |                           charset_normalizer.cd
import time:       671 |       5447 |                         charset_normalizer.api
import time:       222 |        222 |                         charset_normalizer.legacy
import time:       186 |        186 |                         charset_normalizer.version
import time:       929 |       6783 |                       charset_normalizer
import time:       545 |        545 |                       requests.packages
import time:       304 |        304 |                             certifi.core
import time:       499 |        802 |                           certifi
import time:       288 |       1090 |                         requests.certs
import time:       181 |        181 |                         requests.__version__
import time:       389 |        389 |                         requests._internal_utils
import time:       354 |        354 |                         requests.cookies
import time:       489 |        489 |                         requests.structures
import time:       358 |        358 |                             importlib.resources._itertools
import time:       536 |        893 |                           importlib.resources.readers
import time:       443 |       1335 |                         importlib.readers
import time:      1970 |       5806 |                       requests.utils
import time:       654 |        654 |                             requests.auth
import time:       450 |        450 |                                 stringprep
import time:       551 |       1000 |                               encodings.idna
import time:       245 |        245 |                               requests.hooks
import time:       524 |        524 |                               requests.status_codes
import time:       866 |       2634 |                             requests.models
import time:       262 |        262 |                               urllib3.contrib
import time:       589 |        589 |                               socks
import time:       765 |       1616 |                             urllib3.contrib.socks
import time:      7809 |      12712 |                           requests.adapters
import time:       968 |      13680 |                         requests.sessions
import time:       306 |      13985 |                       requests.api
import time:      1350 |      86160 |                     requests
import time:       417 |        417 |                       tenacity._utils
import time:       639 |        639 |                       tenacity.retry
import time:       237 |        237 |                       tenacity.nap
import time:       322 |        322 |                       tenacity.stop
import time:       412 |        412 |                       tenacity.wait
import time:       245 |        245 |                       tenacity.before
import time:       198 |        198 |                       tenacity.after
import time:       193 |        193 |                       tenacity.before_sleep
import time:       278 |        278 |                       tornado
import time:       502 |        502 |                         tenacity.asyncio.retry
import time:       627 |       1128 |                       tenacity.asyncio
import time:      4484 |       8550 |                     tenacity
import time:      1899 |       1899 |                       pyiceberg.catalog.rest.response
import time:       766 |       2665 |                     pyiceberg.catalog.rest.auth
import time:      6982 |     360792 |                   pyiceberg.catalog.rest
import time:     15527 |      15527 |                   storage3.types
import time:       392 |        392 |                       storage3.utils
import time:      1011 |       1403 |                     storage3.exceptions
import time:       544 |       1947 |                   storage3._async.request
import time:      1317 |     379582 |                 storage3._async.analytics
import time:      2493 |       2493 |                   storage3._async.file_api
import time:       630 |       3123 |                 storage3._async.bucket
import time:       481 |        481 |                 storage3._async.vectors
import time:      1292 |     384916 |               storage3._async.client
import time:       591 |     385507 |             storage3._async
import time:       248 |        248 |                   storage3._sync.request
import time:       425 |        672 |                 storage3._sync.analytics
import time:      1335 |       1335 |                   storage3._sync.file_api
import time:       554 |       1889 |                 storage3._sync.bucket
import time:       370 |        370 |                 storage3._sync.vectors
import time:       892 |       3823 |               storage3._sync.client
import time:       484 |       4306 |             storage3._sync
import time:       785 |     390597 |           storage3
import time:        19 |     390615 |         storage3.utils
import time:       393 |        393 |               supabase_auth._async
import time:       209 |        209 |                   supabase_auth.version
import time:       813 |        813 |                   _strptime
import time:       874 |       1895 |                 supabase_auth.constants
import time:      1274 |       1274 |                 supabase_auth.errors
import time:     29250 |      29250 |                 supabase_auth.types
import time:      3492 |      35910 |               supabase_auth.helpers
import time:       325 |        325 |               supabase_auth._async.gotrue_admin_mfa_api
import time:       311 |        311 |               supabase_auth._async.gotrue_admin_oauth_api
import time:       278 |        278 |               supabase_auth._async.gotrue_base_api
import time:      1291 |      38505 |             supabase_auth._async.gotrue_admin_api
import time:       397 |        397 |                     jwt.exceptions
import time:       222 |        222 |                     jwt.types
import time:       333 |        333 |                                 cryptography.__about__
import time:       566 |        898 |                               cryptography
import time:       247 |       1144 |                             cryptography.hazmat
import time:       352 |       1496 |                           cryptography.hazmat.primitives
import time:       351 |       1847 |                         cryptography.hazmat.primitives.asymmetric
import time:       380 |        380 |                         cryptography.utils
import time:       251 |        251 |                             cryptography.hazmat.bindings
import time:      1043 |       1043 |                             _cffi_backend
import time:      2138 |       3431 |                           cryptography.hazmat.bindings._rust
import time:       584 |        584 |                           cryptography.hazmat.primitives.hashes
import time:       693 |       4707 |                         cryptography.hazmat._oid
import time:       886 |        886 |                         cryptography.hazmat.primitives._serialization
import time:       266 |        266 |                         cryptography.hazmat.primitives.asymmetric.utils
import time:      1197 |       9280 |                       cryptography.hazmat.primitives.asymmetric.ec
import time:      1040 |      10320 |                     jwt.utils
import time:       313 |        313 |                     cryptography.exceptions
import time:       268 |        268 |                     cryptography.hazmat.backends
import time:       220 |        220 |                       cryptography.hazmat.primitives._asymmetric
import time:       379 |        379 |                       cryptography.hazmat.primitives.asymmetric.rsa
import time:       470 |       1068 |                     cryptography.hazmat.primitives.asymmetric.padding
import time:       307 |        307 |                     cryptography.hazmat.primitives.asymmetric.ed448
import time:       328 |        328 |                     cryptography.hazmat.primitives.asymmetric.ed25519
import time:       337 |        337 |                         cryptography.hazmat.primitives.asymmetric.dh
import time:       307 |        307 |                           cryptography.hazmat.primitives.asymmetric.dsa
import time:       287 |        287 |                           cryptography.hazmat.primitives.asymmetric.x448
import time:       281 |        281 |                           cryptography.hazmat.primitives.asymmetric.x25519
import time:       323 |       1197 |                         cryptography.hazmat.primitives.asymmetric.types
import time:       540 |       2073 |                       cryptography.hazmat.primitives.serialization.base
import time:       238 |        238 |                           cryptography.hazmat.primitives._cipheralgorithm
import time:       503 |        503 |                               cryptography.hazmat.primitives.ciphers.algorithms
import time:       409 |        912 |                             cryptography.hazmat.primitives.ciphers.modes
import time:       556 |       1468 |                           cryptography.hazmat.primitives.ciphers.base
import time:       626 |       2331 |                         cryptography.hazmat.primitives.ciphers
import time:       299 |        299 |                           bcrypt.__about__
import time:       523 |        523 |                           bcrypt._bcrypt
import time:       725 |       1546 |                         bcrypt
import time:      2814 |       6690 |                       cryptography.hazmat.primitives.serialization.ssh
import time:       995 |       9757 |                     cryptography.hazmat.primitives.serialization
import time:      2004 |      24980 |                   jwt.algorithms
import time:       728 |      25707 |                 jwt.api_jwk
import time:       238 |        238 |                   jwt.warnings
import time:       490 |        728 |                 jwt.api_jws
import time:       441 |        441 |                 jwt.api_jwt
import time:       249 |        249 |                   jwt.jwk_set_cache
import time:       532 |        780 |                 jwt.jwks_client
import time:      1112 |      28766 |               jwt
import time:       281 |        281 |               supabase_auth.timer
import time:       212 |        212 |               supabase_auth._async.gotrue_mfa_api
import time:       228 |        228 |               supabase_auth._async.storage
import time:      1009 |      30495 |             supabase_auth._async.gotrue_client
import time:       282 |        282 |               supabase_auth._sync
import time:       248 |        248 |               supabase_auth._sync.gotrue_admin_mfa_api
import time:       252 |        252 |               supabase_auth._sync.gotrue_admin_oauth_api
import time:       267 |        267 |               supabase_auth._sync.gotrue_base_api
import time:       895 |       1942 |             supabase_auth._sync.gotrue_admin_api
import time:       251 |        251 |               supabase_auth._sync.gotrue_mfa_api
import time:       335 |        335 |               supabase_auth._sync.storage
import time:       815 |       1399 |             supabase_auth._sync.gotrue_client
import time:      1379 |      73719 |           supabase_auth
import time:        19 |      73737 |         supabase_auth.errors
import time:       356 |        356 |               supabase_functions._async
import time:       287 |        287 |               supabase_functions.errors
import time:       369 |        369 |               supabase_functions.utils
import time:       183 |        183 |               supabase_functions.version
import time:       889 |       2083 |             supabase_functions._async.functions_client
import time:       234 |        234 |               supabase_functions._sync
import time:       391 |        625 |             supabase_functions._sync.functions_client
import time:       732 |       3438 |           supabase_functions
import time:        17 |       3455 |         supabase_functions.errors
import time:       343 |        343 |           supabase._async
import time:       451 |        794 |         supabase._async.auth_client
import time:       334 |        334 |             supabase.lib
import time:       233 |        233 |             supabase.types
import time:       170 |        170 |             supabase.version
import time:      4762 |       5498 |           supabase.lib.client_options
import time:       915 |       6412 |         supabase._async.client
import time:       299 |        299 |           supabase._sync
import time:       396 |        695 |         supabase._sync.auth_client
import time:       410 |        410 |         supabase._sync.client
import time:      1600 |     957083 |       supabase
import time:       269 |        269 |         config
import time:      1936 |       1936 |             dotenv.parser
import time:       557 |        557 |             dotenv.variables
import time:      1511 |       4004 |           dotenv.main
import time:       621 |       4624 |         dotenv
import time:      1059 |       5951 |       config.config
import time:       752 |     964092 |     src.infrastructure.user_manager
import time:      1624 |       1624 |           _sqlite3
import time:       499 |       2123 |         sqlite3.dbapi2
import time:       747 |       2869 |       sqlite3
import time:       625 |        625 |               cryptography.x509.certificate_transparency
import time:       286 |        286 |                   cryptography.hazmat.primitives.constant_time
import time:       222 |        222 |                       cryptography.x509.oid
import time:      6552 |       6774 |                     cryptography.x509.name
import time:       759 |       7533 |                   cryptography.x509.general_name
import time:      1753 |       9570 |                 cryptography.x509.extensions
import time:      1153 |      10723 |               cryptography.x509.base
import time:       976 |      12323 |             cryptography.x509
import time:       355 |        355 |             cryptography.hazmat.backends.openssl.aead
import time:       395 |        395 |             cryptography.hazmat.backends.openssl.ciphers
import time:       433 |        433 |             cryptography.hazmat.backends.openssl.cmac
import time:       256 |        256 |               cryptography.hazmat.backends.openssl.utils
import time:       649 |        904 |             cryptography.hazmat.backends.openssl.ec
import time:       470 |        470 |             cryptography.hazmat.backends.openssl.rsa
import time:       276 |        276 |             cryptography.hazmat.bindings.openssl
import time:       264 |        264 |               cryptography.hazmat.bindings.openssl._conditional
import time:      1851 |       2115 |             cryptography.hazmat.bindings.openssl.binding
import time:       326 |        326 |             cryptography.hazmat.primitives.serialization.pkcs12
import time:      3185 |      20778 |           cryptography.hazmat.backends.openssl.backend
import time:       861 |      21638 |         cryptography.hazmat.backends.openssl
import time:       685 |      22323 |       cryptography.hazmat.primitives.ciphers.aead
import time:       275 |        275 |         cryptography.hazmat.primitives.kdf
import time:       536 |        811 |       cryptography.hazmat.primitives.kdf.pbkdf2
import time:       936 |      26937 |     src.infrastructure.secrets_manager
import time:      1183 |    1059848 |   src.presentation.login_view
import time:       312 |        312 |   src.presentation.dashboard_view
import time:      1004 |    1276821 | src.main
QWidget: Must construct a QApplication before a QWidget
