import time: self [us] | cumulative | imported package
import time:       642 |        642 |                               numpy._typing._char_codes
import time:       404 |        404 |                               numpy._typing._scalars
import time:       308 |        308 |                               numpy._typing._shape
import time:      1059 |       1059 |                               numpy._typing._dtype_like
import time:      1408 |       1408 |                               numpy._typing._array_like
import time:       522 |       5413 |                             numpy._typing
import time:      2966 |       9652 |                           numpy.linalg.linalg
import time:       291 |       9942 |                         numpy.linalg
import time:       467 |      10409 |                       numpy.matrixlib.defmatrix
import time:       288 |      10697 |                     numpy.matrixlib
import time:       457 |        457 |                       numpy.lib.histograms
import time:      1218 |       1675 |                     numpy.lib.function_base
import time:       468 |      12838 |                   numpy.lib.index_tricks
import time:       502 |        502 |                   numpy.lib.nanfunctions
import time:       442 |        442 |                   numpy.lib.shape_base
import time:       542 |        542 |                   numpy.lib.polynomial
import time:      1827 |       1827 |                     platform
import time:       654 |       2481 |                   numpy.lib.utils
import time:       423 |        423 |                   numpy.lib.arraysetops
import time:       339 |        339 |                     numpy.lib.format
import time:       357 |        357 |                     numpy.lib._datasource
import time:       413 |        413 |                     numpy.lib._iotools
import time:       684 |       1792 |                   numpy.lib.npyio
import time:       296 |        296 |                   numpy.lib.arrayterator
import time:       529 |        529 |                   numpy.lib.arraypad
import time:       282 |        282 |                   numpy.lib._version
import time:       585 |      22322 |                 numpy.lib
import time:       414 |        414 |                     numpy.fft._pocketfft_internal
import time:      1085 |       1498 |                   numpy.fft._pocketfft
import time:       306 |        306 |                   numpy.fft.helper
import time:       338 |       2141 |                 numpy.fft
import time:       320 |        320 |                     numpy.polynomial.polyutils
import time:       540 |        540 |                     numpy.polynomial._polybase
import time:       553 |       1412 |                   numpy.polynomial.polynomial
import time:       488 |        488 |                   numpy.polynomial.chebyshev
import time:       373 |        373 |                   numpy.polynomial.legendre
import time:       379 |        379 |                   numpy.polynomial.hermite
import time:       415 |        415 |                   numpy.polynomial.hermite_e
import time:       379 |        379 |                   numpy.polynomial.laguerre
import time:       366 |       3810 |                 numpy.polynomial
import time:       387 |        387 |                           backports_abc
import time:      1534 |       1920 |                         numpy.random._common
import time:      1264 |       1264 |                             _hashlib
import time:        46 |         46 |                               _blake2
import time:       492 |        537 |                             hashlib
import time:       388 |       2188 |                           hmac
import time:       371 |       2559 |                         secrets
import time:       674 |       5152 |                       numpy.random.bit_generator
import time:       428 |        428 |                       numpy.random._bounded_integers
import time:       416 |        416 |                       numpy.random._mt19937
import time:      1007 |       7002 |                     numpy.random.mtrand
import time:       397 |        397 |                     numpy.random._philox
import time:       376 |        376 |                     numpy.random._pcg64
import time:       376 |        376 |                     numpy.random._sfc64
import time:       800 |        800 |                     numpy.random._generator
import time:       476 |       9426 |                   numpy.random._pickle
import time:       351 |       9776 |                 numpy.random
import time:       477 |        477 |                 numpy.ctypeslib
import time:        35 |         35 |                           _opcode
import time:       540 |        575 |                         opcode
import time:      1910 |       2484 |                       dis
import time:      3318 |       5802 |                     inspect
import time:      2423 |       8225 |                   numpy.ma.core
import time:      1044 |       1044 |                   numpy.ma.extras
import time:       422 |       9690 |                 numpy.ma
import time:      1711 |      84667 |               numpy
import time:        21 |      84687 |             numpy.core
import time:        41 |      84728 |           numpy.core._multiarray_umath
import time:        55 |         55 |           xxsubtype
import time:       384 |        384 |           encodings.cp437
import time:       102 |        102 |           shibokensupport
import time:        73 |         73 |           shibokensupport.signature
import time:       694 |        694 |             shibokensupport.feature
import time:      2333 |       2333 |             shibokensupport.signature.mapping
import time:       782 |        782 |             shibokensupport.signature.errorhandler
import time:       843 |        843 |             shibokensupport.signature.layout
import time:        88 |         88 |             shibokensupport.signature.lib
import time:       508 |        508 |               shibokensupport.signature.lib.tool
import time:      3116 |       3624 |             shibokensupport.signature.parser
import time:       143 |        143 |                 shiboken6.Shiboken
import time:       872 |       1015 |               PySide6.support
import time:       442 |        442 |               PySide6.support.deprecated
import time:       231 |       1687 |             shibokensupport.signature.importhandler
import time:      1359 |       1359 |             shibokensupport.signature.lib.enum_sig
import time:       896 |        896 |                 gettext
import time:       997 |       1892 |               argparse
import time:        46 |         46 |                   _string
import time:      1242 |       1288 |                 string
import time:        35 |         35 |                 atexit
import time:      1433 |       2755 |               logging
import time:      1508 |       6153 |             shibokensupport.signature.lib.pyi_generator
import time:       843 |      18402 |           shibokensupport.signature.loader
import time:      5452 |     109193 |         shiboken6.Shiboken
import time:       707 |     123024 |       shiboken6
import time:      1953 |     124976 |     PySide6
import time:     30991 |      30991 |       PySide6.QtCore
import time:     20061 |      51052 |     PySide6.QtGui
import time:     26180 |     202207 |   PySide6.QtWidgets
import time:       384 |        384 |     src.presentation
import time:      4174 |       4174 |         pkgutil
import time:      1549 |       5722 |       PyQt5
import time:       687 |        687 |       PyQt5.sip
import time:      5422 |       5422 |       PyQt5.QtCore
import time:      3791 |       3791 |       PyQt5.QtGui
import time:     16466 |      32086 |     PyQt5.QtWidgets
import time:        72 |         72 |                 _locale
import time:      1864 |       1936 |               locale
import time:      1621 |       3556 |             calendar
import time:       892 |        892 |               unicodedata
import time:       569 |       1461 |             pyotp.utils
import time:       538 |        538 |             pyotp.otp
import time:       999 |       6553 |           pyotp.totp
import time:       577 |       7130 |         pyotp.contrib.steam
import time:       644 |       7773 |       pyotp.contrib
import time:       407 |        407 |       pyotp.compat
import time:       301 |        301 |       pyotp.hotp
import time:      2000 |      10479 |     pyotp
import time:       241 |        241 |         qrcode.constants
import time:       227 |        227 |         qrcode.exceptions
import time:       251 |        251 |           qrcode.LUT
import time:      1251 |       1251 |           qrcode.base
import time:      1663 |       3164 |         qrcode.util
import time:       341 |        341 |           qrcode.image
import time:       300 |        300 |               qrcode.image.styles
import time:       494 |        494 |                   PIL._version
import time:       840 |       1334 |                 PIL
import time:      2571 |       2571 |                   PIL.ExifTags
import time:       284 |        284 |                     PIL._deprecate
import time:      1342 |       1626 |                   PIL.ImageMode
import time:      1133 |       1133 |                   PIL.TiffTags
import time:       318 |        318 |                   PIL._binary
import time:       392 |        392 |                     PIL._typing
import time:       459 |        850 |                   PIL._util
import time:       341 |        341 |                   defusedxml
import time:       852 |        852 |                   PIL._imaging
import time:      3310 |      10998 |                 PIL.Image
import time:       400 |        400 |                   PIL.ImageColor
import time:       631 |       1031 |                 PIL.ImageDraw
import time:       288 |        288 |                 qrcode.image.styles.moduledrawers.base
import time:       727 |      14376 |               qrcode.image.styles.moduledrawers.pil
import time:       607 |      15282 |             qrcode.image.styles.moduledrawers
import time:        25 |      15307 |           qrcode.image.styles.moduledrawers.base
import time:       746 |      16393 |         qrcode.image.base
import time:       301 |        301 |             qrcode.compat
import time:       320 |        320 |             png
import time:       384 |       1004 |           qrcode.compat.png
import time:       477 |       1481 |         qrcode.image.pure
import time:      1843 |      23347 |       qrcode.main
import time:       944 |      24291 |     qrcode
import time:       398 |        398 |     PIL.ImageQt
import time:       308 |        308 |       src.infrastructure
import time:       415 |        415 |             httpx.__version__
import time:       395 |        395 |                     email
import time:       688 |        688 |                       http
import time:       441 |        441 |                           email.errors
import time:       548 |        548 |                               email.quoprimime
import time:       265 |        265 |                               email.base64mime
import time:       504 |        504 |                                   quopri
import time:       491 |        995 |                                 email.encoders
import time:       464 |       1458 |                               email.charset
import time:       823 |       3093 |                             email.header
import time:      2128 |       2128 |                                 _socket
import time:       742 |        742 |                                   select
import time:      1256 |       1998 |                                 selectors
import time:      2177 |       6302 |                               socket
import time:       387 |        387 |                               email._parseaddr
